URI,Cnt
/portal/pages/video/default.aspx,9
/AttachFiles/Nghị+quyết+số+39120620200930.doc,1
/portal/Pages/2023-11-16/Cac-dai-bieu-HDND-tinh-tiep-xuc-cu-tri-huyen-Y-Yens5xvab.aspx,1
/portal/Pages/2022-7-28/Chi-Doan-Van-phong-Doan-DBQH-va-HDND-tinh-thap-nene2zenm.aspx,1
/saas./resttosaasservlet,1
/epinyins.php,1
/seeyon/htmlofficeservlet,2
/_layouts/tandan.portal/weather/img/128/02n.png,1
/portal/Pages/2024-1-12/Hoi-nghi-tong-ket-cong-tac-nam-2023-va-trien-khai-94zzsq.aspx,2
/portal/_themes/Portal_red/jquery-ui/jquery-ui.min.css,35
/portal/pages/van-phong-doan-DBQH-HDND-tinh.aspx,5
/portal/Photos/2023-10-23/cb8893cb99e86dddhc+(2).jpg,2
/api/upload.ashx,1
/portal/Pages/2023-12-8/nr9olk.aspx,1
/wp-content/plugins/x/index.php,1
/portal/Pages/2021-9-30/Giam-sat-viec-giai-quyet-kien-nghi-cua-cu-tri-tu-kmayi9c.aspx,1
/portal/LinkImage/bdd19138618d6dcdGopYVB-r.jpg,24
/portal/Pages/2022-6-22/Dien-tap-chi-huy--tham-muu-mot-ben-hai-cap-tren-bab2btt6.aspx,1
/dologin.action,2
/portal/Photos/2024-03-25/906691df8612c55d1.jpg,1
/api/upfile.ashx,1
/emap/devicePoint_addImgIco,1
/classes/Login.php,1
/wp-content/plugins/360-product-rotation/readme.txt,1
/portal/Pages/2023-6-29/Doan-dai-bieu-Quoc-hoi-tinh-tiep-xuc-cu-tri-sau-Kybm14l4.aspx,2
/assets/login,1
/2eMhUnCnjbVB0PeqKTY7GMm1Hvq,1
/_vti_bin/sites.asmx,1
/cgi-bin/mj_wwwusr,1
/portal/_res/bootstrap/js/bootstrap.min.js,36
/_layouts/1033/styles/Themable/corev4.css,35
/portal/_res/fonts/Roboto/roboto-v18-latin_vietnamese_latin-ext-italic.woff2,56
/portal/images/icon.gif,18
/portal/Photos/2024-03/_t/d4912d5a10db415dPho_png.jpg,12
/portal/Pages/Cac-ban-HDND-tinh.aspx,7
/reports/rwservlet,4
/portal/Pages/2021-9-30/Giam-sat-truoc-ky-hop-thu-11-HDND-tinh-khoa-XVIII-519hzz.aspx,1
/AttachFiles/21.+QH+chung+rang+dong280620180909.pdf,2
"/AttachFiles/17.+XD+khu+Dt+thi+tran+Co+Le,+h.+Truc+Ninh100620201040.pdf",1
/portal/Pages/2024-2-2/Dong-chi-Pho-Chu-tich-HDND-tinh-Mai-Thanh-Long-thahfdqzj.aspx,2
/portal/js/galleria/galleria-1.3.5.min.js,1
/class.api.php,11
/portal/Pages/2023-9-2/Tuyen-ngon-doc-lap--ket-tinh-nhung-gia-tri-van-hoap3zcft.aspx,1
/tutor/filter,1
/portal/Pages/2023-8-22/Tuyen-duong-khen-thuong-con-CBCC-NLD-ve-thanh-tichdyk1i7.aspx,1
/portal/Photos/2023-01-26/69e13cd1654e4dddND5.jpg,1
/hoidongnhandan/1231/29459/42096/Trong-nuoc/AttachFiles/AttachFiles/4-+NQ+72+ve+KH+dau+tu+cong+trung+han+2016-2020120620200951.doc,1
/main/webservices/additional_webservices.php,1
/public/index.php/home/file/user_pics,3
/portal/Pages/2023-12-8/Phat-bieu-khai-mac-cua-dong-chi-Chu-tich-HDND-tinho9069e.aspx,1
/portal/Pages/2023-10-25/Doan-cong-tac-cua-tinh-tham-lam-viec-xuc-tien-dau-detq6o.aspx,2
/audio/28007.mp3,1
